iter	Passed	Remaining
261	595	1676
262	596	1672
263	598	1669
264	600	1665
265	601	1660
266	603	1656
267	605	1652
268	606	1648
269	608	1643
270	609	1639
271	610	1634
272	612	1631
273	614	1628
274	616	1625
275	618	1621
276	619	1617
277	621	1612
278	622	1608
279	624	1604
280	626	1601
281	628	1599
282	630	1596
283	631	1593
284	633	1589
285	635	1585
286	636	1581
287	638	1578
288	640	1574
289	642	1571
290	644	1571
291	646	1567
292	648	1564
293	650	1561
294	651	1557
295	653	1553
296	654	1549
297	656	1546
298	659	1545
299	660	1541
300	662	1537
301	663	1534
302	665	1530
303	666	1526
304	668	1523
305	670	1519
306	672	1518
307	674	1516
308	676	1512
309	678	1509
310	679	1505
311	681	1502
312	682	1498
313	684	1495
314	685	1491
315	688	1489
316	690	1487
317	692	1484
318	693	1481
319	695	1478
320	697	1475
321	698	1471
322	700	1467
323	702	1466
324	704	1464
325	706	1460
326	708	1457
327	709	1453
328	711	1450
329	712	1446
330	713	1443
331	716	1440
332	718	1439
333	720	1436
334	722	1433
335	723	1430
336	725	1427
337	727	1424
338	728	1420
339	730	1417
340	732	1415
341	734	1412
342	736	1410
343	737	1407
344	739	1403
345	740	1400
346	742	1397
347	743	1393
348	746	1392
349	748	1390
350	750	1388
351	752	1384
352	753	1381
353	755	1378
354	756	1374
355	758	1371
356	759	1368
357	762	1367
358	764	1364
359	765	1361
360	767	1358
361	769	1355
362	770	1352
363	772	1349
364	773	1346
365	775	1343
366	778	1342
367	780	1339
368	781	1336
369	783	1334
370	785	1330
371	786	1327
372	787	1324
373	789	1321
374	792	1321
375	794	1318
376	796	1315
377	797	1312
378	799	1309
379	800	1306
380	802	1303
381	803	1300
382	805	1297
383	808	1296
384	810	1294
385	812	1291
386	814	1289
387	815	1286
388	817	1284
389	819	1281
390	823	1281
391	825	1280
392	826	1277
393	828	1274
394	830	1271
395	831	1268
396	833	1265
397	835	1263
398	838	1262
399	839	1259
400	841	1256
401	843	1254
402	844	1251
403	846	1248
404	847	1245
405	849	1242
406	851	1240
407	853	1238
408	855	1235
409	856	1232
410	858	1229
411	859	1227
412	861	1224
413	862	1221
414	864	1218
415	867	1218
416	869	1216
417	872	1214
418	873	1211
419	875	1208
420	876	1205
421	878	1203
422	880	1200
423	883	1199
424	884	1197
425	886	1194
426	887	1191
427	889	1188
428	891	1186
429	893	1183
430	894	1181
431	896	1179
432	898	1176
433	900	1174
434	902	1171
435	903	1168
436	905	1166
437	906	1163
438	908	1160
439	910	1158
440	912	1156
441	914	1155
442	916	1152
443	918	1149
444	919	1147
445	921	1144
446	923	1142
447	925	1139
448	927	1138
449	929	1136
450	931	1133
451	933	1131
452	934	1128
453	936	1126
454	938	1123
455	939	1121
456	941	1119
457	943	1116
458	945	1114
459	947	1111
460	948	1109
461	950	1106
462	951	1103
463	953	1101
464	954	1098
465	956	1096
466	958	1093
467	959	1091
468	961	1088
469	962	1085
470	964	1083
471	966	1080
472	967	1078
473	969	1075
474	970	1072
475	972	1070
476	974	1068
477	975	1065
478	977	1063
479	978	1060
480	980	1057
481	981	1055
482	983	1052
483	985	1050
484	987	1048
485	989	1046
486	990	1043
487	992	1041
488	994	1039
489	995	1036
490	998	1034
491	1004	1037
492	1007	1035
493	1011	1036
494	1015	1036
495	1023	1039
496	1025	1037
497	1026	1035
498	1028	1032
499	1030	1030
500	1034	1030
501	1036	1028
502	1038	1026
503	1040	1024
504	1042	1022
505	1044	1019
506	1046	1017
507	1049	1016
508	1051	1014
509	1054	1013
510	1056	1010
511	1058	1008
512	1060	1006
513	1061	1003
514	1064	1002
515	1067	1000
516	1070	999
517	1072	997
518	1073	995
519	1076	993
520	1081	994
521	1083	992
522	1085	990
523	1088	988
524	1090	986
525	1091	983
526	1095	983
527	1097	981
528	1099	978
529	1101	976
530	1102	974
531	1104	971
532	1106	969
533	1110	968
534	1111	966
535	1113	964
536	1115	962
537	1118	960
538	1120	958
539	1125	958
540	1128	957
541	1131	956
542	1133	953
543	1135	951
544	1138	950
545	1140	948
546	1143	946
547	1145	944
548	1147	942
549	1149	940
550	1151	938
551	1154	937
552	1157	935
553	1159	933
554	1161	930
555	1163	928
556	1164	926
557	1166	924
558	1169	922
559	1175	923
560	1177	921
561	1179	919
562	1181	916
563	1184	915
564	1187	914
565	1189	911
566	1191	909
567	1192	907
568	1194	904
569	1196	902
570	1198	900
571	1201	899
572	1203	897
573	1205	894
574	1207	892
575	1209	890
576	1211	888
577	1213	885
578	1216	884
579	1219	883
580	1221	880
581	1223	878
582	1225	876
583	1227	874
584	1230	872
585	1232	870
586	1233	868
587	1235	865
588	1237	863
589	1238	860
590	1240	858
591	1242	856
592	1244	854
593	1246	852
594	1248	849
595	1249	847
596	1251	844
597	1253	842
598	1254	839
599	1256	837
600	1258	835
601	1260	833
602	1262	831
603	1264	829
604	1266	826
605	1267	824
606	1269	821
607	1270	819
608	1273	817
609	1275	815
610	1276	812
611	1278	810
612	1280	808
613	1281	805
614	1283	803
615	1285	801
616	1286	798
617	1288	796
618	1290	794
619	1292	792
620	1294	789
621	1295	787
622	1297	784
623	1298	782
624	1300	780
625	1302	777
626	1305	776
627	1307	774
628	1308	772
629	1310	769
630	1312	767
631	1314	765
632	1315	762
633	1317	760
634	1319	758
635	1321	756
636	1322	753
637	1324	751
638	1325	749
639	1327	746
640	1328	744
641	1330	741
642	1331	739
643	1334	737
644	1335	735
645	1337	732
646	1338	730
647	1339	727
648	1341	725
649	1342	722
650	1343	720
651	1345	718
652	1346	715
653	1348	713
654	1350	711
655	1351	708
656	1353	706
657	1354	704
658	1356	701
659	1357	699
660	1359	697
661	1361	694
662	1362	692
663	1364	690
664	1366	688
665	1368	686
666	1369	683
667	1371	681
668	1372	679
669	1374	676
670	1375	674
671	1377	672
672	1379	670
673	1381	667
674	1382	665
675	1384	663
676	1385	661
677	1386	658
678	1388	656
679	1389	654
680	1391	651
681	1392	649
682	1394	647
683	1396	645
684	1398	642
685	1399	640
686	1401	638
687	1402	636
688	1404	633
689	1405	631
690	1407	629
691	1409	627
692	1411	625
693	1412	622
694	1414	620
695	1415	618
696	1417	616
697	1418	613
698	1420	611
699	1421	609
700	1423	607
701	1425	604
702	1426	602
703	1428	600
704	1429	598
705	1431	596
706	1432	593
707	1434	591
708	1435	589
709	1437	587
710	1438	584
711	1440	582
712	1442	580
713	1443	578
714	1444	575
715	1446	573
716	1447	571
717	1449	569
718	1451	567
719	1452	564
720	1454	562
721	1456	560
722	1458	558
723	1459	556
724	1461	554
725	1462	551
726	1464	549
727	1465	547
728	1467	545
729	1469	543
730	1471	541
731	1472	539
732	1473	536
733	1475	534
734	1476	532
735	1477	530
736	1479	527
737	1480	525
738	1482	523
739	1484	521
740	1485	519
741	1487	517
742	1488	514
743	1490	512
744	1491	510
745	1493	508
746	1494	506
747	1495	503
748	1497	501
749	1498	499
750	1500	497
751	1501	495
752	1503	493
753	1504	490
754	1506	488
755	1507	486
756	1508	484
757	1510	482
758	1511	479
759	1513	477
760	1514	475
761	1516	473
762	1517	471
763	1519	469
764	1520	467
765	1521	464
766	1523	462
767	1524	460
768	1526	458
769	1527	456
770	1529	454
771	1530	452
772	1532	449
773	1533	447
774	1535	445
775	1536	443
776	1538	441
777	1539	439
778	1541	437
779	1543	435
780	1545	433
781	1547	431
782	1548	429
783	1550	427
784	1551	424
785	1553	422
786	1554	420
787	1556	418
788	1558	416
789	1560	414
790	1562	412
791	1563	410
792	1565	408
793	1567	406
794	1568	404
795	1570	402
796	1571	400
797	1573	398
798	1574	396
799	1576	394
800	1578	392
801	1579	390
802	1581	387
803	1582	385
804	1584	383
805	1585	381
806	1586	379
807	1588	377
808	1590	375
809	1591	373
810	1593	371
811	1594	369
812	1596	367
813	1597	365
814	1599	363
815	1601	361
816	1602	359
817	1604	356
818	1606	354
819	1607	352
820	1609	350
821	1611	348
822	1612	346
823	1614	344
824	1615	342
825	1617	340
826	1619	338
827	1621	336
828	1623	334
829	1625	332
830	1626	330
831	1628	328
832	1630	326
833	1632	324
834	1634	322
835	1636	321
836	1638	319
837	1640	317
838	1642	315
839	1643	313
840	1646	311
841	1649	309
842	1651	307
843	1652	305
844	1654	303
845	1656	301
846	1657	299
847	1659	297
848	1660	295
849	1663	293
850	1665	291
851	1667	289
852	1668	287
853	1670	285
854	1671	283
855	1673	281
856	1674	279
857	1676	277
858	1678	275
859	1680	273
860	1682	271
861	1683	269
862	1685	267
863	1687	265
864	1688	263
865	1690	261
866	1692	259
867	1694	257
868	1696	255
869	1698	253
870	1699	251
871	1701	249
872	1702	247
873	1704	245
874	1705	243
875	1707	241
876	1709	239
877	1711	237
878	1712	235
879	1714	233
880	1715	231
881	1717	229
882	1719	227
883	1722	226
884	1724	224
885	1726	222
886	1728	220
887	1729	218
888	1731	216
889	1733	214
890	1734	212
891	1736	210
892	1738	208
893	1740	206
894	1741	204
895	1743	202
896	1745	200
897	1746	198
898	1748	196
899	1750	194
900	1752	192
901	1753	190
902	1755	188
903	1756	186
904	1758	184
905	1760	182
906	1761	180
907	1763	178
908	1765	176
909	1767	174
910	1769	172
911	1770	170
912	1772	168
913	1773	166
914	1775	164
915	1777	162
916	1778	160
917	1780	159
918	1782	157
919	1783	155
920	1785	153
921	1786	151
922	1788	149
923	1789	147
924	1791	145
925	1793	143
926	1794	141
927	1796	139
928	1798	137
929	1799	135
930	1801	133
931	1802	131
932	1803	129
933	1805	127
934	1806	125
935	1808	123
936	1809	121
937	1811	119
938	1813	117
939	1815	115
940	1816	113
941	1818	111
942	1819	109
943	1821	108
944	1822	106
945	1824	104
946	1825	102
947	1827	100
948	1828	98
949	1830	96
950	1831	94
951	1833	92
952	1834	90
953	1836	88
954	1837	86
955	1839	84
956	1840	82
957	1842	80
958	1843	78
959	1845	76
960	1846	74
961	1848	73
962	1850	71
963	1851	69
964	1852	67
965	1854	65
966	1856	63
967	1858	61
968	1860	59
969	1861	57
970	1863	55
971	1864	53
972	1866	51
973	1868	49
974	1869	47
975	1871	46
976	1873	44
977	1875	42
978	1876	40
979	1878	38
980	1879	36
981	1881	34
982	1882	32
983	1884	30
984	1885	28
985	1887	26
986	1889	24
987	1891	22
988	1892	21
989	1894	19
990	1895	17
991	1897	15
992	1898	13
993	1900	11
994	1902	9
995	1903	7
996	1905	5
997	1906	3
998	1908	1
999	1909	0
